,word,book_count,book_frequency,show_count,show_frequency
178,interest,25.0,0.0009295408068414204,4.0,0.0003411513859275053
179,part,24.0,0.0008923591745677636,8.0,0.0006823027718550107
180,return,24.0,0.0008923591745677636,,
181,mire,24.0,0.0008923591745677636,,
182,next,24.0,0.0008923591745677636,16.0,0.0013646055437100213
183,coming,24.0,0.0008923591745677636,6.0,0.000511727078891258
184,foundation,24.0,0.0008923591745677636,,
185,moment,24.0,0.0008923591745677636,27.0,0.002302771855010661
186,hear,24.0,0.0008923591745677636,8.0,0.0006823027718550107
187,gone,24.0,0.0008923591745677636,9.0,0.000767590618336887
188,strange,24.0,0.0008923591745677636,3.0,0.000255863539445629
189,grimpen,24.0,0.0008923591745677636,6.0,0.000511727078891258
190,answer,23.0,0.0008551775422941067,2.0,0.00017057569296375266
191,cry,23.0,0.0008551775422941067,,
192,people,23.0,0.0008551775422941067,13.0,0.0011087420042643922
193,better,23.0,0.0008551775422941067,8.0,0.0006823027718550107
194,towards,23.0,0.0008551775422941067,67.0,0.005714285714285714
195,word,23.0,0.0008551775422941067,28.0,0.0023880597014925373
196,taken,23.0,0.0008551775422941067,5.0,0.00042643923240938164
197,going,23.0,0.0008551775422941067,17.0,0.0014498933901918977
198,convict,23.0,0.0008551775422941067,,
199,facts,23.0,0.0008551775422941067,1.0,8.528784648187633e-05
200,let,23.0,0.0008551775422941067,7.0,0.0005970149253731343
201,read,22.0,0.0008179959100204499,3.0,0.000255863539445629
202,walk,22.0,0.0008179959100204499,15.0,0.001279317697228145
203,terms,22.0,0.0008179959100204499,2.0,0.00017057569296375266
204,anyone,22.0,0.0008179959100204499,2.0,0.00017057569296375266
205,leave,22.0,0.0008179959100204499,4.0,0.0003411513859275053
206,many,22.0,0.0008179959100204499,6.0,0.000511727078891258
207,seems,22.0,0.0008179959100204499,5.0,0.00042643923240938164
208,things,22.0,0.0008179959100204499,12.0,0.001023454157782516
209,ran,22.0,0.0008179959100204499,,
210,half,22.0,0.0008179959100204499,6.0,0.000511727078891258
211,sat,22.0,0.0008179959100204499,4.0,0.0003411513859275053
212,exactly,22.0,0.0008179959100204499,8.0,0.0006823027718550107
213,direction,21.0,0.0007808142777467931,10.0,0.0008528784648187633
214,among,21.0,0.0007808142777467931,,
215,gentleman,21.0,0.0007808142777467931,,
216,paper,21.0,0.0007808142777467931,2.0,0.00017057569296375266
217,hotel,21.0,0.0007808142777467931,,
218,young,21.0,0.0007808142777467931,12.0,0.001023454157782516
219,wish,21.0,0.0007808142777467931,,
220,cab,21.0,0.0007808142777467931,1.0,8.528784648187633e-05
221,ask,21.0,0.0007808142777467931,2.0,0.00017057569296375266
222,hour,21.0,0.0007808142777467931,2.0,0.00017057569296375266
223,held,21.0,0.0007808142777467931,,
224,enough,21.0,0.0007808142777467931,5.0,0.00042643923240938164
225,means,21.0,0.0007808142777467931,6.0,0.000511727078891258
226,got,21.0,0.0007808142777467931,41.0,0.00349680170575693
227,white,21.0,0.0007808142777467931,8.0,0.0006823027718550107
228,darkness,21.0,0.0007808142777467931,2.0,0.00017057569296375266
229,hill,21.0,0.0007808142777467931,1.0,8.528784648187633e-05
230,ready,21.0,0.0007808142777467931,1.0,8.528784648187633e-05
231,known,21.0,0.0007808142777467931,,
232,reason,20.0,0.0007436326454731362,2.0,0.00017057569296375266
233,report,20.0,0.0007436326454731362,1.0,8.528784648187633e-05
234,sure,20.0,0.0007436326454731362,7.0,0.0005970149253731343
235,showed,20.0,0.0007436326454731362,2.0,0.00017057569296375266
236,states,20.0,0.0007436326454731362,,
237,voice,20.0,0.0007436326454731362,14.0,0.0011940298507462687
238,grey,20.0,0.0007436326454731362,2.0,0.00017057569296375266
239,home,20.0,0.0007436326454731362,2.0,0.00017057569296375266
240,business,20.0,0.0007436326454731362,1.0,8.528784648187633e-05
241,surely,19.0,0.0007064510131994795,1.0,8.528784648187633e-05
242,copyright,19.0,0.0007064510131994795,,
243,lyons,19.0,0.0007064510131994795,21.0,0.001791044776119403
244,second,19.0,0.0007064510131994795,6.0,0.000511727078891258
245,walked,19.0,0.0007064510131994795,1.0,8.528784648187633e-05
246,either,19.0,0.0007064510131994795,1.0,8.528784648187633e-05
247,years,19.0,0.0007064510131994795,13.0,0.0011087420042643922
248,world,19.0,0.0007064510131994795,3.0,0.000255863539445629
249,creature,19.0,0.0007064510131994795,11.0,0.0009381663113006396
250,deep,19.0,0.0007064510131994795,4.0,0.0003411513859275053
251,mean,19.0,0.0007064510131994795,13.0,0.0011087420042643922
252,along,19.0,0.0007064510131994795,10.0,0.0008528784648187633
253,baskervilles,19.0,0.0007064510131994795,,
254,whether,19.0,0.0007064510131994795,2.0,0.00017057569296375266
255,kept,18.0,0.0006692693809258227,1.0,8.528784648187633e-05
256,truth,18.0,0.0006692693809258227,6.0,0.000511727078891258
257,believe,18.0,0.0006692693809258227,8.0,0.0006823027718550107
258,boot,18.0,0.0006692693809258227,,
259,run,18.0,0.0006692693809258227,4.0,0.0003411513859275053
260,rose,18.0,0.0006692693809258227,,
261,husband,18.0,0.0006692693809258227,1.0,8.528784648187633e-05
262,least,18.0,0.0006692693809258227,2.0,0.00017057569296375266
263,dog,18.0,0.0006692693809258227,31.0,0.0026439232409381664
264,glad,18.0,0.0006692693809258227,,
265,low,18.0,0.0006692693809258227,5.0,0.00042643923240938164
266,story,18.0,0.0006692693809258227,1.0,8.528784648187633e-05
267,body,18.0,0.0006692693809258227,3.0,0.000255863539445629
268,agreement,18.0,0.0006692693809258227,2.0,0.00017057569296375266
269,keep,18.0,0.0006692693809258227,23.0,0.001961620469083156
270,coombe,18.0,0.0006692693809258227,,
271,died,17.0,0.0006320877486521658,2.0,0.00017057569296375266
272,license,17.0,0.0006320877486521658,,
273,met,17.0,0.0006320877486521658,2.0,0.00017057569296375266
274,visit,17.0,0.0006320877486521658,,
275,certain,17.0,0.0006320877486521658,1.0,8.528784648187633e-05
276,boy,17.0,0.0006320877486521658,3.0,0.000255863539445629
277,outside,17.0,0.0006320877486521658,10.0,0.0008528784648187633
278,learned,17.0,0.0006320877486521658,,
279,possible,17.0,0.0006320877486521658,7.0,0.0005970149253731343
280,hard,17.0,0.0006320877486521658,2.0,0.00017057569296375266
281,kind,17.0,0.0006320877486521658,6.0,0.000511727078891258
282,sister,17.0,0.0006320877486521658,1.0,8.528784648187633e-05
283,frankland,17.0,0.0006320877486521658,36.0,0.003070362473347548
284,danger,17.0,0.0006320877486521658,1.0,8.528784648187633e-05
285,waiting,17.0,0.0006320877486521658,3.0,0.000255863539445629
286,reached,17.0,0.0006320877486521658,,
287,huge,17.0,0.0006320877486521658,6.0,0.000511727078891258
288,air,17.0,0.0006320877486521658,3.0,0.000255863539445629
289,near,17.0,0.0006320877486521658,4.0,0.0003411513859275053
290,swear,17.0,0.0006320877486521658,1.0,8.528784648187633e-05
291,therefore,17.0,0.0006320877486521658,1.0,8.528784648187633e-05
292,miss,16.0,0.000594906116378509,1.0,8.528784648187633e-05
293,call,16.0,0.000594906116378509,6.0,0.000511727078891258
294,road,16.0,0.000594906116378509,2.0,0.00017057569296375266
295,alone,16.0,0.000594906116378509,2.0,0.00017057569296375266
296,feet,16.0,0.000594906116378509,13.0,0.0011087420042643922
297,surprise,16.0,0.000594906116378509,4.0,0.0003411513859275053
298,ground,16.0,0.000594906116378509,16.0,0.0013646055437100213
299,struck,16.0,0.000594906116378509,1.0,8.528784648187633e-05
300,merripit,16.0,0.000594906116378509,,
301,high,16.0,0.000594906116378509,3.0,0.000255863539445629
302,united,16.0,0.000594906116378509,,
303,evil,16.0,0.000594906116378509,,
304,someone,16.0,0.000594906116378509,12.0,0.001023454157782516
305,possibly,16.0,0.000594906116378509,3.0,0.000255863539445629
306,donations,16.0,0.000594906116378509,,
307,times,16.0,0.000594906116378509,4.0,0.0003411513859275053
308,hardly,16.0,0.000594906116378509,2.0,0.00017057569296375266
309,tracey,16.0,0.000594906116378509,,
310,hugo,16.0,0.000594906116378509,,
311,figure,16.0,0.000594906116378509,4.0,0.0003411513859275053
312,else,15.0,0.0005577244841048522,9.0,0.000767590618336887
313,hut,15.0,0.0005577244841048522,,
314,feel,15.0,0.0005577244841048522,1.0,8.528784648187633e-05
315,looking,15.0,0.0005577244841048522,43.0,0.003667377398720682
316,track,15.0,0.0005577244841048522,,
317,moon,15.0,0.0005577244841048522,,
318,standing,15.0,0.0005577244841048522,16.0,0.0013646055437100213
319,god,15.0,0.0005577244841048522,22.0,0.0018763326226012792
320,late,15.0,0.0005577244841048522,2.0,0.00017057569296375266
321,opened,15.0,0.0005577244841048522,1.0,8.528784648187633e-05
322,remember,15.0,0.0005577244841048522,12.0,0.001023454157782516
323,love,15.0,0.0005577244841048522,4.0,0.0003411513859275053
324,given,15.0,0.0005577244841048522,,
325,show,15.0,0.0005577244841048522,7.0,0.0005970149253731343
326,alley,15.0,0.0005577244841048522,,
327,used,15.0,0.0005577244841048522,6.0,0.000511727078891258
328,stapletons,15.0,0.0005577244841048522,,
329,cold,15.0,0.0005577244841048522,6.0,0.000511727078891258
330,friends,15.0,0.0005577244841048522,5.0,0.00042643923240938164
331,entirely,15.0,0.0005577244841048522,,
332,position,15.0,0.0005577244841048522,5.0,0.00042643923240938164
333,stick,15.0,0.0005577244841048522,3.0,0.000255863539445629
334,slowly,14.0,0.0005205428518311953,16.0,0.0013646055437100213
335,turn,14.0,0.0005205428518311953,6.0,0.000511727078891258
336,baker,14.0,0.0005205428518311953,,
